index,x,y,z,norm,lowpass_filter,threshold_filter,moving_average
0,-1.908178723,1.276109485,-8.968679419,9.257797361003917,9.25803845073834,9.257797361003917,
1,-1.754949817,1.158793604,-8.918401184,9.1629979349355,9.241548701540065,9.1629979349355,
2,-1.915361328,1.316810913,-8.908824377,9.20704902656781,9.241559072052485,9.20704902656781,
3,-1.929726538,1.393425366,-8.920795386,9.23287978265463,9.25825462407437,9.23287978265463,
4,-2.032677209,1.290474695,-9.133879333,9.445890812635296,9.278411044071252,9.445890812635296,9.261322983559431
5,-1.857900488,1.242590662,-8.872911353,9.150102822088751,9.293447291822341,9.150102822088751,9.239784075776397
6,-1.843535278,1.328781921,-9.023746057,9.305497118157097,9.303538437625818,9.305497118157097,9.268283912420717
7,-1.958456958,1.22583125,-9.030928662,9.32179641528114,9.30329055361019,9.32179641528114,9.291233390163383
8,-1.898601917,1.319205115,-9.167398157,9.454426494697879,9.282934437796843,9.454426494697879,9.335542732572033
9,-1.982398975,1.271321082,-8.793902698,9.103784248954408,9.247930183045769,9.103784248954408,9.267121419835854
10,-1.996764185,1.271321082,-8.904035974,9.213315425530729,9.21912019903692,9.213315425530729,9.279763940524251
11,-1.984793176,1.276109485,-8.875305554,9.183621728167292,9.211131788814873,9.183621728167292,9.25538886252629
12,-1.980004773,1.074996545,-8.935160596,9.214832138958137,9.222186437660142,9.214832138958137,9.23399600726169
13,-1.965639563,1.345541333,-8.942343201,9.254173236703167,9.240263445632037,9.254173236703167,9.193945355662747
14,-1.991975781,1.328781921,-8.985438831,9.299018221904376,9.25166482966087,9.299018221904376,9.232992150252741
15,-1.963245361,1.374271753,-8.918401184,9.234762307572097,9.248640888445713,9.234762307572097,9.237281526661015
16,-1.93212074,1.38384856,-8.892064966,9.204180938601587,9.230808971519739,9.204180938601587,9.241393368747874
17,-1.948880151,1.295263098,-9.018957654,9.317587536516495,9.2015993739552,9.317587536516495,9.261944448259545
18,-1.908178723,1.228225452,-8.817844714,9.105167170352681,9.171212321943736,9.105167170352681,9.232143234989447
19,-1.862688892,1.352723938,-8.803479504,9.099490279030277,9.157311458713991,9.099490279030277,9.192237646414627
20,-1.900996118,1.321599316,-8.872911353,9.170003646176974,9.171904590792913,9.170003646176974,9.179285914135601
21,-1.74537301,1.477222424,-8.858546143,9.148898993959058,9.210390588920653,9.148898993959058,9.1682295252071
22,-1.970427966,1.213860242,-9.002198242,9.294924219409811,9.253071454333355,9.294924219409811,9.16369686178576
23,-1.97521637,1.264138477,-9.119514124,9.416212808511888,9.276503184855411,9.416212808511888,9.225905989417601
24,-1.941697546,1.230619653,-8.853757739,9.147329675451447,9.27017195793156,9.147329675451447,9.235473868701837
25,-1.920149731,1.352723938,-9.033322864,9.333689463827408,9.239661306780665,9.333689463827408,9.268211032231921
26,-2.075772839,1.276109485,-8.858546143,9.187552887711574,9.19732469617234,9.187552887711574,9.275941810982426
27,-2.066196033,1.424549988,-8.786720093,9.13810476564072,9.159976810961794,9.13810476564072,9.244577920228608
28,-1.948880151,1.209071838,-8.755595471,9.050991139328454,9.14482438336935,9.050991139328454,9.17153358639192
29,-1.939303345,1.338358728,-8.844180933,9.152684738609908,9.155691068675505,9.152684738609908,9.172604599023611
30,-2.075772839,1.335964526,-8.937554797,9.272190671208085,9.179343472507428,9.272190671208085,9.160304840499748
31,-1.905784521,0.916979236,-8.947131604,9.193695094956867,9.201041009630355,9.193695094956867,9.161533281948806
32,-1.891419312,1.192312427,-8.906430176,9.182786854618188,9.217440816141089,9.182786854618188,9.1704696997443
33,-2.018312,1.247379065,-8.959102612,9.267958646513778,9.231732658183732,9.267958646513778,9.213863201181365
34,-1.944091748,1.244984863,-8.959102612,9.251756570840266,9.247251967076956,9.251756570840266,9.233677567627437
35,-1.924938135,1.331176123,-8.868122949,9.171751268574779,9.26715773084508,9.171751268574779,9.213589687100775
36,-2.039859814,1.2976573,-9.04289967,9.360500893152114,9.289505894694726,9.360500893152114,9.246950846739825
37,-1.987187378,1.314416711,-8.963891016,9.275125180403986,9.30459040120791,9.275125180403986,9.265418511896986
38,-2.001552588,1.244984863,-9.167398157,9.465589735489047,9.305389519364493,9.465589735489047,9.30494472969204
39,-1.81719906,1.249773267,-8.853757739,9.124317604263627,9.298951041728829,9.124317604263627,9.279456936376711
40,-1.968033765,1.25456167,-9.045293872,9.34154286586825,9.299901185297196,9.34154286586825,9.313415255835405
41,-1.884236707,1.273715283,-9.038111267,9.319879498406957,9.315062891795915,9.319879498406957,9.305290976886374
42,-1.912967126,1.307234106,-8.932766394,9.228359533677807,9.340046341064694,9.228359533677807,9.295937847541136
43,-2.013523596,1.218648645,-9.150638745,9.44846925343488,9.360513152290302,9.44846925343488,9.292513751130304
44,-2.032677209,1.201889233,-9.188945972,9.487520352585516,9.358350543722603,9.487520352585516,9.365154300794682
45,-1.987187378,1.285686292,-8.944737402,9.252579646101779,9.330876401277694,9.252579646101779,9.34736165684139
46,-1.908178723,1.2976573,-8.956708411,9.249199212192984,9.294732292787996,9.249199212192984,9.333225599598592
47,-1.958456958,1.288080493,-8.995015637,9.295429593228075,9.266033408805997,9.295429593228075,9.346639611508646
48,-1.968033765,1.278503687,-8.894459167,9.198865824180881,9.249409277605466,9.198865824180881,9.296718925657848
49,-1.941697546,1.266532678,-8.990227234,9.284313658183871,9.242300479549709,9.284313658183871,9.256077586777518
50,-1.984793176,1.316810913,-8.947131604,9.258755794996848,9.240816528377295,9.258755794996848,9.257312816556531
51,-1.862688892,1.2976573,-8.882488159,9.167994342897398,9.243296982411385,9.167994342897398,9.241071842697414
52,-1.94648595,1.290474695,-9.018957654,9.31642257825545,9.247860513654212,9.31642257825545,9.245270439702889
53,-1.953668555,1.285686292,-8.935160596,9.23617371753821,9.25033102376892,9.23617371753821,9.252732018374354
54,-1.958456958,1.264138477,-8.944737402,9.243480239396208,9.248488908419558,9.243480239396208,9.244565334616823
55,-1.999158386,1.266532678,-8.968679419,9.275664385775833,9.243818161889687,9.275664385775833,9.24794705277262
56,-1.965639563,1.271321082,-8.904035974,9.206620053605699,9.240035599158007,9.206620053605699,9.255672194914279
57,-1.953668555,1.244984863,-8.925583789,9.221326049237955,9.240963586630713,9.221326049237955,9.23665288911078
58,-1.915361328,1.189918225,-8.939948999,9.219935059625213,9.245072657264853,9.219935059625213,9.233405157528182
59,-1.956062756,1.323993518,-9.02853446,9.33239384276745,9.244009574088334,9.33239384276745,9.251187878202431
60,-1.886630908,1.249773267,-8.930372192,9.212646573573505,9.231536343962329,9.212646573573505,9.238584315761965
61,-1.910572925,1.273715283,-8.918401184,9.209262685072211,9.211206246377932,9.209262685072211,9.239112842055267
62,-1.881842505,1.280897888,-8.937554797,9.222901732236187,9.193538870824815,9.222901732236187,9.239427978654913
63,-1.953668555,1.122880579,-8.796296899,9.080337039606414,9.189336859079225,9.080337039606414,9.211508374651153
64,-1.968033765,1.12527478,-8.923189587,9.206666749493507,9.201132404696741,9.206666749493507,9.186362955996364
65,-1.963245361,1.280897888,-9.023746057,9.323251827994024,9.219317218118544,9.323251827994024,9.20848400688047
66,-1.951274353,1.290474695,-8.865728748,9.169184411507088,9.233631304331713,9.169184411507088,9.200468352167444
67,-1.944091748,1.292868896,-8.971073621,9.26990639760122,9.242823656231597,9.26990639760122,9.209869285240451
68,-1.939303345,1.323993518,-8.892064966,9.196884019014199,9.248335906972361,9.196884019014199,9.23317868112201
69,-1.996764185,1.25456167,-8.995015637,9.298994488879236,9.24732667982514,9.298994488879236,9.251644228999155
70,-1.891419312,1.25456167,-8.975862024,9.258374105183108,9.235904099902912,9.258374105183108,9.23866868443697
71,-1.972822168,1.280897888,-8.983044629,9.285893468732064,9.218665696493563,9.285893468732064,9.262010495881965
72,-1.84592948,1.357512341,-8.757989673,9.052771869072755,9.211976420016882,9.052771869072755,9.218583590176271
73,-1.948880151,1.233013855,-8.995015637,9.285944395669095,9.231110001238317,9.285944395669095,9.236395665507251
74,-1.965639563,1.187524023,-9.124302527,9.408870750576368,9.281990076776822,9.408870750576368,9.25837091784668
75,-1.867477295,1.292868896,-8.997409839,9.279674845624644,9.37557518057011,9.279674845624644,9.262631065934986
76,-1.999158386,1.230619653,-9.052476477,9.351919019607811,9.53045629172888,9.351919019607811,9.275836176110134
77,-1.793257043,1.127668982,-9.521740002,9.754534372327619,9.74412424205218,9.754534372327619,9.416188676761108
78,-1.968033765,1.266532678,-8.887276563,9.190263686743217,9.953730258015,9.190263686743217,9.39705253497593
79,-2.248155359,0.323217224,-11.34372747,11.568873100078646,10.029826483611755,11.568873100078646,9.829053004876387
80,-1.474828223,0.584185205,-9.548076221,9.678953980835113,9.879409406451868,9.678953980835113,9.908908831918481
81,-1.072602344,-0.076614453,-9.059659082,9.1232542573814,9.55539197026417,9.1232542573814,9.8631758794732
82,-1.776497632,1.32638772,-9.440337146,9.697175550149426,9.19784399247889,9.697175550149426,9.85170411503756
83,-2.772485522,1.841141077,-8.58081875,9.203636610355057,8.958231337826973,9.203636610355057,9.854378699759929
84,-0.699106885,0.833182178,-6.449979272,6.541037806619136,8.97662806392725,6.541037806619136,8.848811641068027
85,-5.025429285,2.880224597,-9.785102185,11.370965570196367,9.25794072856549,11.370965570196367,9.187213958940278
86,-1.920149731,0.998382092,-9.303867651,9.552261253672341,9.665948501875897,9.552261253672341,9.273015358198466
87,-1.429338391,0.292092603,-8.942343201,9.06056445532974,10.113688503142457,9.06056445532974,9.145693139234528
88,-2.023100403,0.833182178,-9.742006555,9.984679238714609,10.531136978996603,9.984679238714609,9.301901664906438
89,-5.204994409,3.445256189,-11.85369242,13.396707841612786,10.725370760222306,13.396707841612786,10.673035671905168
90,-2.217030737,1.146822595,-9.528922607,9.850420975948236,10.572878564401556,9.850420975948236,10.368926753055543
91,-1.982398975,1.11090957,-9.136273535,9.414643905912747,10.217909510621256,9.414643905912747,10.341403283503624
92,-1.68791217,0.823605371,-9.880870251,10.05778157537093,9.886042592857224,10.05778157537093,10.54084670751186
93,-1.764526624,1.414973181,-9.294290845,9.565539484064917,9.671647927360274,9.565539484064917,10.457018756581924
94,-2.236184351,1.448492004,-9.047688074,9.431824267961689,9.567101525411854,9.431824267961689,9.664042041851705
95,-1.280897888,0.981622681,-9.236830005,9.376743092812386,9.52239787642979,9.376743092812386,9.569306465224534
96,-2.195482922,1.113303772,-9.610325464,9.920581942282919,9.452818645616915,9.920581942282919,9.670494072498567
97,-0.150834705,-0.964863269,-9.639055884,9.68840082629599,9.295511384220935,9.68840082629599,9.596617922683581
98,-2.070984436,1.144428394,-8.626308582,8.944936703802577,9.091069339880214,8.944936703802577,9.472497366631112
99,-0.933738647,1.122880579,-7.335833887,7.479785255824814,8.940076330641343,7.479785255824814,9.082089564203738
100,-3.055001318,1.570596289,-10.16338605,10.728197507379182,8.860373504987686,10.728197507379182,9.352380447117095
101,-2.463633508,1.347935535,-7.900865479,8.385111542818619,8.813560937322709,8.385111542818619,9.045286367224238
102,-1.149216797,-0.105344873,-8.403647827,8.482516937148793,8.853519966131858,8.482516937148793,8.804109589394798
103,-1.879448303,1.400607971,-7.603984473,7.9570477237291595,9.059273425390508,7.9570477237291595,8.606531793380112
104,-2.585737793,0.509964954,-10.40998882,10.738434309571472,9.359651987928439,10.738434309571472,9.258261604129446
105,-2.557007373,0.905008228,-8.779537488,9.188993693627253,9.583254051447593,9.188993693627253,8.95042084137906
106,-2.226607544,0.969651672,-9.971849915,10.263322865782582,9.633609364738765,10.263322865782582,9.326063105971851
107,-2.006340991,1.158793604,-9.021351855,9.314128841740924,9.541957277362807,9.314128841740924,9.49238548689028
108,-1.965639563,1.098938562,-8.858546143,9.14030878156431,9.410153097067518,9.14030878156431,9.729037698457308
109,-2.037465613,1.089361755,-8.942343201,9.235988148643603,9.32787565576275,9.235988148643603,9.428548466271735
110,-2.015917798,1.11090957,-8.942343201,9.233826214819167,9.315625781250189,9.233826214819167,9.437514970510117
111,-2.619256616,1.221042847,-9.179369165,9.623526854642348,9.337968499931014,9.623526854642348,9.30955576828207
112,-1.970427966,1.101332764,-8.789114294,9.074362253031886,9.351717607239808,9.074362253031886,9.261602450540263
113,-2.030283008,1.05344873,-8.995015637,9.281277370555555,9.318045805032925,9.281277370555555,9.289796168338512
114,-2.145204688,1.05344873,-8.999804041,9.311720042857589,9.179905391690955,9.311720042857589,9.304942547181309
115,-2.55221897,-0.74938512,-9.35893429,9.72959663981211,8.889746165314131,9.72959663981211,9.404096632179897
116,-2.573766785,-3.292027283,-8.152256653,9.160840989339809,8.528316796699738,9.160840989339809,9.31155945911939
117,-0.984016882,-2.497152332,-4.896142395,5.583571379089765,8.33269444496543,5.583571379089765,8.613401284330966
118,-2.662352246,-0.08619126,-8.880093958,9.271009498322702,8.454768125393812,9.271009498322702,8.611347709884395
119,-2.621650818,-0.023942017,-8.875305554,9.254440820955168,8.770428672734553,9.254440820955168,8.59989186550391
120,-2.497152332,0.007182605,-8.935160596,9.277549042464756,9.058099541981534,9.277549042464756,8.50948234603444
121,-2.683900061,0.04309563,-8.801085303,9.2013194315513,9.222105180691608,9.2013194315513,8.517578034476738
122,-2.621650818,0.07182605,-8.851363538,9.231730524382442,9.282604731140308,9.231730524382442,9.247209863535272
123,-2.671929053,0.083797058,-8.865728748,9.259987745364924,9.28932017808521,9.259987745364924,9.245005512943717
124,-2.590526196,0.10055647,-8.841786731,9.214018133925544,9.281558351043632,9.214018133925544,9.236920975537794
125,-2.657563843,0.01436521,-8.817844714,9.209627426725634,9.276909623345567,9.209627426725634,9.22333665238997
126,-2.652775439,-0.004788403,-9.033322864,9.414784247333026,9.272354058072382,9.414784247333026,9.266029615546314
127,-2.631227625,0.050278235,-8.815450513,9.199894263665742,9.259197140520211,9.199894263665742,9.259662363402972
128,-2.636016028,0.069431848,-8.868122949,9.251864996851719,9.23743227066359,9.251864996851719,9.258037813700332
129,-2.60967981,0.033518823,-8.846575134,9.223526647856776,9.213367473866887,9.223526647856776,9.259939516486579
130,-2.705447876,0.079008655,-8.765172278,9.17354542368094,9.193673548699133,9.17354542368094,9.25272311587764
131,-2.657563843,0.105344873,-8.801085303,9.194174548733068,9.184678829316708,9.194174548733068,9.208601176157648
132,-2.710236279,0.076614453,-8.73883606,9.149781754007721,9.19069148375306,9.149781754007721,9.198578674226045
133,-2.525882751,0.021547815,-8.860940344,9.213946589820099,9.210898486537376,9.213946589820099,9.190994992819721
134,-2.669534851,0.02873042,-8.834604126,9.229164199475118,9.2378888678913,9.229164199475118,9.19212250314339
135,-2.655169641,0.033518823,-8.963891016,9.34892461627052,9.26179015074194,9.34892461627052,9.227198341661305
136,-2.683900061,0.138863696,-8.774749084,9.177081461481173,9.277643251595547,9.177081461481173,9.223779724210926
137,-2.631227625,0.050278235,-8.995015637,9.372096511739109,9.285645323316638,9.372096511739109,9.268242675757204
138,-2.626439221,0.038307227,-8.880093958,9.260438387471492,9.287614655833229,9.260438387471492,9.27754103528748
139,-2.755726111,0.055066638,-8.825027319,9.245440276945395,9.286941149471101,9.245440276945395,9.280796250781538
140,-2.719813086,0.0,-8.923189587,9.32848838924732,9.285803844659068,9.32848838924732,9.276709005376897
141,-2.619256616,0.023942017,-8.848969336,9.228506745411527,9.28185237292339,9.228506745411527,9.28699406216297
142,-2.602497205,0.007182605,-9.01416925,9.382339290363197,9.271568181088709,9.382339290363197,9.289042617887786
143,-2.655169641,0.01436521,-8.822633118,9.213521982205112,9.257561792186445,9.213521982205112,9.279659336834511
144,-2.657563843,0.088585461,-8.777143286,9.171081573429406,9.24948986391322,9.171081573429406,9.264787596131313
145,-2.679111658,0.050278235,-8.884882361,9.28015634274311,9.252291202421587,9.28015634274311,9.25512118683047
146,-2.655169641,0.095768066,-8.889670764,9.278218775027339,9.258978493197867,9.278218775027339,9.265063592753634
147,-2.628833423,0.050278235,-8.901641772,9.281838142513147,9.259869375538742,9.281838142513147,9.244963363183624
148,-2.655169641,0.047884033,-8.870517151,9.259497460947303,9.25244708695231,9.259497460947303,9.25415845893206
149,-2.755726111,0.045489832,-8.810662109,9.23167712404582,9.241696106103465,9.23167712404582,9.266277569055344
150,-2.671929053,0.093373865,-8.820238916,9.216536121464037,9.235268208604648,9.216536121464037,9.253553524799528
151,-2.722207288,0.019153613,-8.832209924,9.242224381680817,9.238428512268655,9.242224381680817,9.246354646130225
152,-2.643198633,0.110133276,-8.789114294,9.178625083582546,9.250492798254687,9.178625083582546,9.225712034344104
153,-2.636016028,0.023942017,-8.992621436,9.37104017765678,9.26364571732823,9.37104017765678,9.248020577686
154,-2.585737793,0.052672437,-8.882488159,9.251346400094596,9.269388414629113,9.251346400094596,9.251954432895754
155,-2.743755103,0.093373865,-8.813056311,9.230756864134193,9.266658533967895,9.230756864134193,9.254798581429787
156,-2.738966699,0.074220251,-8.882488159,9.295485093240947,9.258595617055455,9.295485093240947,9.265450723741811
157,-2.5953146,0.045489832,-8.882488159,9.253989577072353,9.24756783281138,9.253989577072353,9.280523622439773
158,-2.604891406,0.095768066,-8.827421521,9.204238234038273,9.237478070215575,9.204238234038273,9.247163233716071
159,-2.657563843,0.033518823,-8.820238916,9.211969584537124,9.232142508806975,9.211969584537124,9.23928787060458
160,-2.683900061,-0.126892688,-8.889670764,9.286854558138618,9.230628275840331,9.286854558138618,9.250507409405463
161,-2.631227625,0.074220251,-8.789114294,9.174824114565727,9.229719195283193,9.174824114565727,9.22637521367042
162,-2.693476868,-0.023942017,-8.856151941,9.256717456026578,9.227181751943705,9.256717456026578,9.226920789461264
163,-2.638410229,0.090979663,-8.829815723,9.216025799535798,9.22046067160585,9.216025799535798,9.229278302560768
164,-2.657563843,0.08619126,-8.882488159,9.271929163216063,9.208746410576925,9.271929163216063,9.241270218296556
165,-2.607285608,0.05746084,-8.741230261,9.121970536328188,9.197523593962636,9.121970536328188,9.208293413934472
166,-2.700659473,0.009576807,-8.767566479,9.174087162656642,9.19429256555742,9.174087162656642,9.208146023552654
167,-2.600103003,0.067037646,-8.868122949,9.241679193240333,9.199384259368344,9.241679193240333,9.205138370995405
168,-2.621650818,0.07182605,-8.820238916,9.201892551442857,9.207344194417002,9.201892551442857,9.202311721376816
169,-2.667140649,0.069431848,-8.820238916,9.214937577563164,9.214942848199227,9.214937577563164,9.190913404246237
